Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
F E B R U A R Y,25,Elden Ring,"Win, PS4, PS5, XBO, XSX",Action role-playing,FromSoftware,Bandai Namco Entertainment,[224]
F E B R U A R Y,25,Grid Legends,"Win, PS4, PS5, XBO, XSX",Racing,Codemasters,Electronic Arts,[225]
F E B R U A R Y,25,Monark[d],"NS, PS4, PS5",Role-playing,Lancarse,NIS America,[208]
F E B R U A R Y,25,Moto Roader MC,"NS, PS4, PS5, XBO, XSX",Racing,"Masaya Games, Shinyuden","Masaya Games, Ratalaika Games",[226]
F E B R U A R Y,28,Guild Wars 2: End of Dragons,Win,Massively multiplayer online role-playing,ArenaNet,NCSoft,[227]
M A R C H,1,Aperture Desk Job,"Win, Lin",Action,Valve,Valve,[228]
M A R C H,1,Conan Chop Chop,"Win, NS, PS4, XBO","Action-adventure, roguelite",Mighty Kingdom,Funcom,[229]
M A R C H,1,Dawn of the Monsters,Stadia,Beat 'em up,13AM Games,WayForward,[230]
M A R C H,1,ELEX II,"Win, PS4, PS5, XBO, XSX",Action role-playing,Piranha Bytes,THQ Nordic,[231]
M A R C H,1,Far: Changing Tides,"Win, NS, PS4, XBO",Adventure,Okomotive,Frontier,[232]
M A R C H,1,Ghostwire: Tokyo - Prelude,PS4,Visual novel,Tango Gameworks,Bethesda Softworks,[233]
M A R C H,1,Puzzle Quest 3,"Win, iOS, Droid","Puzzle, role-playing",Infinity Plus Two,505 Games,[234]
M A R C H,1,Shadow Warrior 3,"Win, PS4, XBO",First-person shooter,Flying Wild Hog,Devolver Digital,[235]
M A R C H,3,Babylon's Fall,"Win, PS4, PS5",Action role-playing,PlatinumGames,Square Enix,[236]
M A R C H,4,Gran Turismo 7,"PS4, PS5",Racing,Polyphony Digital,Sony Interactive Entertainment,[237]
M A R C H,4,Triangle Strategy,NS,Tactical role-playing,"Artdink, Netchubiyori",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}JP: Square EnixWW: Nintendo",[238]
