Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
M A Y,5,"Warhammer 40,000: Chaos Gate - Daemonhunters",Win,Turn-based strategy,Complex Games,Frontier Foundry,[367]
M A Y,6,Elemental War 2,"Win, Mac, Lin, PS4, PS5, XBO, XSX, Stadia",Tower defense,Clockwork Origins,Clockwork Origins,[368]
M A Y,8,Valkyrie of Phantasm Prelude[c],Win,Bullet hell,Areazero,Areazero,[369]
M A Y,10,Danganronpa 2: Goodbye Despair Anniversary Edition,"Win, XBO, XSX",Adventure,Spike Chunsoft,Spike Chunsoft,[370]
M A Y,10,Eiyuden Chronicle: Rising,"Win, NS, PS4, PS5, XBO, XSX",Action role-playing,Rabbit & Bear Studios,505 Games,[371]
M A Y,10,Prinny Presents NIS Classics Volume 2[b],"Win, NS",Tactical role-playing,Nippon Ichi Software,NIS America,[372]
M A Y,10,Salt and Sacrifice,"Win, PS4, PS5",Action role-playing,Ska Studios,Ska Studios,[373]
M A Y,10,This War of Mine: Final Cut,"PS5, XSX",Survival,11 bit studios,11 bit studios,[374]
M A Y,10,Unpacking,"PS4, PS5",Puzzle,Witch Beam,Humble Bundle,[375]
M A Y,10,We Were Here Forever,Win,Puzzle,Total Mayhem Games,Total Mayhem Games,[376]
M A Y,10,Wolfstride,NS,Role-playing,OTA IMON Studio,Raw Fury,[377]
M A Y,11,Brigandine: The Legend of Runersia,Win,Tactical role-playing,Matrix Software,Happinet,[378]
M A Y,11,Gibbon: Beyond the Trees,NS,Adventure,Broken Rules,Broken Rules,[379]
M A Y,11,Neptuna x Senran Kagura: Ninja Wars,Win,Role-playing,"Idea Factory, Compile Heart, Tamsoft",JP: Compile HeatWW: Idea Factory,[324]
M A Y,11,Mini Motorways,NS,Puzzle,Dinosaur Polo Club,Dinosaur Polo Club,[380]
M A Y,11,Opus: Echo of Starsong - Full Bloom Edition,NS,Adventure,Sigono,Sigono,[381]
M A Y,11,Soundfall,"Win, NS, PS4, PS5, XBO, XSX",Rhythm,Drastic Games,Noodlecake Studios,[380]
M A Y,11,Source of Madness,"Win, NS, PS4, PS5, XBO, XSX",Horror,Carry Castle,Thunderful Games,[382]
M A Y,12,The Centennial Case: A Shijima Story,"Win, NS, PS4, PS5",Adventure,h.a.n.d.,Square Enix,[383]
M A Y,12,Seven Pirates H[a],NS,Role-playing,Felistella,eastasiasoft,[384]
M A Y,12,Gravitar: Recharged,Atari VCS,Action,"Adamvision Studios, SneakyBox",Atari,[385]
M A Y,12,Ninja JaJaMaru: The Great Yokai Battle + Hell,Win,Action,City Connection,City Connection,[386]
M A Y,12,Vesper: Zero Light Edition,"Win, NS",Puzzle,Cordens Interactive,Cordens Interactive,[387]
M A Y,13,Evil Dead: The Game,"Win, NS, PS4, PS5, XBO, XSX",Horror,Boss Team Games,Saber Interactive,[388]
M A Y,13,Prinny Presents NIS Classics Volume 2[d],"Win, NS",Tactical role-playing,Nippon Ichi Software,NIS America,[372]
M A Y,17,Apex Legends Mobile,"iOS, Droid",Battle royale,"Respawn Entertainment, LightSpeed Studios",Electronic Arts,[389]
M A Y,17,Cities: Skylines,Stadia,City-building,Tantalus Media,Paradox Interactive,[390]
M A Y,17,Far Cry Primal,Stadia,Action-adventure,Ubisoft,Ubisoft,[391]
M A Y,17,Outward: Definitive Edition,"Win, PS5, XSX",Role-playing,Nine Dots,Prime Matter,[392]
M A Y,17,Umurangi Generation: Special Edition,XBO,First-person shooter,Origame Digital,Playism,[393]
M A Y,18,Gibbon: Beyond the Trees,"Win, Mac",Adventure,Broken Rules,Broken Rules,[394]
M A Y,18,Gunfire Reborn,"iOS, Droid",Strategy,Duoyi Games,Liwei Network,[395]
M A Y,19,A Monster's Expedition,"PS4, PS5",Puzzle,Draknek & Friends,Draknek Limited,[396]
M A Y,19,Contract Killer,Win,Beat 'em up,Paperboy Games,Behemoth Interactive,[397]
M A Y,19,Deadcraft,"Win, NS, PS4, PS5, XBO, XSX",Survival,Marvelous First Studio,Xseed Games,[398]
M A Y,19,Endzone - A World Apart: Survivor Edition,"PS5, XSX",City-building,Gentlymad Studios,Assemble Entertainment,[399]
M A Y,19,Eternal Threads,"Win, PS4, XBO",Adventure,Cosmonaut Studios,Secret Mode,[400]
M A Y,19,Fire Dragon Fist Master Xiao-Mei[c],NS,Action,PiXEL,PiXEL,[401]
M A Y,19,Norn9: Last Era[c],"iOS, Droid",Visual novel,Regista,Idea Factory,[402]
M A Y,19,Norn9: Nonette[c],"iOS, Droid",Visual novel,Regista,Idea Factory,[402]
M A Y,19,Old World,Lin,Turn-based strategy,Mohawk Games,Hooded Horse,[403]
M A Y,19,Snow Bros. Special,NS,Platform,CRT Games,Daewon Media Game Lab,[404]
M A Y,19,Taiko Risshiden V DX[c],"Win, NS",Turn-based strategy,Kou Shibusawa,Koei Tecmo,[405]
M A Y,19,The Future You've Been Dreaming Of,NS,Simulation,qureate,qureate,[406]
M A Y,19,They Always Run,"NS, PS4, XBO",Platform,Alawar,Alawar,[407]
M A Y,19,Vampire: The Masquerade – Swansong,"Win, NS, PS4, PS5, XBO, XSX",Role-playing,Big Bad Wolf,Nacon,[408]
M A Y,20,Cotton Fantasy[a],"NS, PS4",Action,Success,ININ Games,[409]
M A Y,20,Dolmen,"Win, PS4, PS5, XBO, XSX",Action role-playing,Massive Work Studio,Prime Matter,[410]
M A Y,22,Drainus,Win,Action,Team Ladybug,"Playism, WSS Playground",[411]
M A Y,24,Floppy Knights,"Win, Mac, XBO",Turn-based strategy,Rose City Games,Rose City Games,[412]
M A Y,24,Hardspace: Shipbreaker,Win,Simulation,Blackbird Interactive,Focus Entertainment,[413]
M A Y,24,Streets of Rage 4,"iOS, Droid",Beat 'em up,Dotemu,Playdigious,[414]
M A Y,24,Touken Ranbu Warriors[a],"Win, NS",Hack and slash,"Omega Force, Ruby Party","Koei Tecmo, DMM Games",[415]
M A Y,24,Turnip Boy Commits Tax Evasion,"iOS, Droid",Action-adventure,Snoozy Kazoo,Graffiti Games,[322]
M A Y,25,Catalyst Black,"iOS, Droid",Battle royale,Super Evil Megacorp,Super Evil Megacorp,[416]
M A Y,25,Ni no Kuni: Cross Worlds,"iOS, Droid, Win",Role-playing,Netmarble,Level-5,[417]
M A Y,25,Roller Champions,"Win, PS4, XBO",Sports,Ubisoft Montreal,Ubisoft,[418]
M A Y,25,Yurukill: The Calumniation Games[c],"NS, PS4, PS5",Action,G.rev,Izanagi Games,[419]
M A Y,26,Age of Empires III: Definitive Edition – Knights of the Mediterranean,Win,Strategy,"Tantalus Media, Forgotten Empires",Xbox Game Studios,[420]
M A Y,26,Biomotor Unitron,NS,Role-playing,SNK,SNK,[421]
M A Y,26,Dragon Quest Builders,"iOS, Droid",Action role-playing,Square Enix Creative Business Unit III,Square Enix,[422]
M A Y,26,Hatsune Miku: Project DIVA Mega Mix+,Win,Role-playing,Sega,Sega,[423]
M A Y,26,The Legend of Nayuta: Boundless Trails[c],NS,Action role-playing,PH3 GmbH,Nippon Ichi Software,[424]
M A Y,26,Radiant Tale[c],NS,Visual novel,Design Factory,Idea Factory,[425]
M A Y,26,Senren Banka: A Thousand Colors of Love[c],NS,Visual novel,Nekonyan,Yuzusoft,[426]
M A Y,26,Sniper Elite 5,"Win, PS4, PS5, XBO, XSX",Third-person shooter,Rebellion Developments,Rebellion Developments,[427]
M A Y,27,Arcade Spirits: The New Challengers,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX",Visual novel,Fiction Factory Games,PQube,[428]
M A Y,27,fault - StP - Lightkravte,"Win, Mac, Lin",Visual novel,Alice in Dissonance,Phoenixx,[429]
M A Y,27,Kao the Kangaroo,"Win, NS, PS4, PS5, XBO, XSX",Platform,Tate Multimedia,Tate Multimedia,[430]
M A Y,27,My Little Pony: A Maretime Bay Adventure,"Win, NS, PS4, XBO, XSX",Adventure,Melbot Studios,Outright Games Ltd.,[431]
M A Y,27,Pac-Man Museum +,"Win, NS, PS4, XBO",Action,Bandai Namco Entertainment,Bandai Namco Entertainment,[432]
M A Y,27,Unexplored 2: The Wayfarer's Legacy,Win,Role-playing,Ludomotion,Big Sugar,[433]
M A Y,31,Destroy All Humans! Clone Carnage,"Win, PS4, XBO",Action-adventure,Black Forest Games,THQ Nordic,[434]
M A Y,31,SnowRunner,"PS5, XSX",Simulation,Saber Interactive,Focus Home Interactive,[435]
